sqft_living,grade,sqft_above,sqft_living15,bathrooms,price
2980,7,2070,1560,4.0,850000.0
2740,7,2740,1900,2.5,386000.0
1790,7,1790,1680,2.5,251100.0
1750,7,1330,1750,1.75,435000.0
3610,10,3610,3530,4.0,870000.0
1430,7,1430,2450,1.0,800000.0
1570,7,1570,1610,1.75,555000.0
2280,7,2280,2360,1.0,280000.0
940,6,940,1500,1.0,356000.0
2920,9,2920,3100,2.5,675000.0
2260,9,2260,2470,2.25,605000.0
2000,7,1280,1680,2.0,690500.0
1440,8,1440,1680,1.75,437000.0
2310,8,2310,2810,2.0,850000.0
2300,7,1340,1540,2.25,350000.0
1490,8,1490,1820,2.25,480000.0
1830,8,1830,1500,2.25,379500.0
4440,10,4440,2720,4.5,600000.0
4970,11,3930,3580,3.5,1436000.0
1000,7,840,1000,1.5,303000.0
4940,9,3450,2430,2.5,800000.0
1980,7,1220,1280,2.0,549000.0
1560,7,1210,2070,2.5,324950.0
870,6,870,1100,1.0,170000.0
840,6,840,870,1.0,178000.0
1250,6,1250,1188,1.0,144000.0
3120,9,1980,3330,2.75,1580000.0
750,6,750,1100,1.0,258000.0
710,6,710,900,1.75,345000.0
2290,8,1620,2320,1.75,470000.0
3750,10,3750,3540,2.5,2903000.0
980,7,980,1390,1.5,350000.0
1590,7,1590,1750,1.75,225500.0
940,6,720,1180,1.0,473000.0
1750,7,1150,1820,1.75,279000.0
1460,6,880,1530,1.0,470000.0
1540,6,770,1510,1.75,565000.0
2560,8,1380,1780,2.0,695000.0
1660,7,1660,2070,1.75,315000.0
1880,8,1880,2130,2.5,529000.0
3500,8,3500,3250,3.75,750000.0
1840,7,1840,1840,2.25,481500.0
1060,7,1060,1080,2.0,211000.0
1790,7,1390,1940,2.25,455000.0
810,5,810,890,1.0,238950.0
2600,8,1820,2000,3.5,722500.0
3230,8,2000,3230,2.5,795000.0
2240,8,2240,2050,2.25,327500.0
3400,9,3400,3400,3.0,585000.0
3140,7,1940,3300,2.0,775000.0
2780,8,2780,2510,2.5,645000.0
2320,8,1670,2070,2.75,445000.0
1370,7,1370,1400,1.75,257950.0
2230,7,1230,1380,1.75,375000.0
1610,7,1610,1610,2.5,245000.0
3410,11,3410,2150,2.5,725000.0
2810,9,2810,2920,2.5,702000.0
1850,6,1850,2660,1.75,330000.0
1790,8,1790,1780,1.5,940000.0
1150,7,1150,1600,1.0,354500.0
2420,7,2420,1070,2.75,279950.0
1580,7,1180,1470,2.25,284000.0
1760,8,1560,2150,2.0,480000.0
1760,8,1560,2150,2.0,647500.0
2750,9,2750,2780,2.5,625000.0
920,7,920,1160,1.0,152000.0
960,7,960,1740,1.0,322000.0
1120,7,870,1470,1.75,445000.0
1560,7,1560,1280,1.0,595000.0
1380,7,980,1910,1.0,165000.0
1940,7,1940,2060,2.5,278500.0
1810,8,1370,2140,1.75,517500.0
1100,7,1100,1240,1.0,343566.0
1980,7,1170,1610,2.25,286285.0
1340,6,1340,1210,1.5,474905.0
1680,7,1400,1540,1.75,550000.0
2060,6,2060,1530,2.5,286000.0
2620,8,1770,2180,3.25,900000.0
1610,7,1610,1610,2.25,449950.0
1490,7,1490,1490,1.5,259000.0
1900,7,1540,1480,2.25,340000.0
3440,9,3440,3150,2.5,785000.0
1840,6,1130,1320,1.0,490000.0
2330,7,1400,2050,2.0,344950.0
2250,9,1880,2690,2.0,950000.0
2000,7,1000,1690,1.75,810000.0
3010,9,1260,3010,2.5,998160.0
1680,8,1150,2100,1.75,377000.0
1530,8,1530,2240,2.0,595000.0
970,6,970,1180,1.0,313300.0
1550,7,1550,1220,1.75,360000.0
1660,8,1660,1840,1.75,188000.0
3680,9,3680,2410,2.5,755000.0
3210,10,2290,1940,3.5,1289000.0
1480,6,1480,1510,1.0,455000.0
3600,10,2680,3420,3.5,817500.0
1700,8,1700,1560,2.25,550000.0
1680,8,1240,2020,1.75,260000.0
1550,7,1550,2300,2.0,320000.0
3780,11,2650,3850,3.25,1153000.0
2360,7,1460,1590,2.5,362000.0
1810,7,1350,1640,2.5,503500.0
2290,9,2290,2340,2.5,653000.0
3370,10,3370,3700,2.75,760000.0
2090,7,1090,1760,1.75,775000.0
2130,9,2130,3030,3.75,1339000.0
2060,7,1360,2060,1.75,417500.0
1560,7,1220,1870,1.5,525000.0
730,4,730,1220,1.0,217000.0
2910,8,1640,1970,2.75,525000.0
2490,7,1890,1470,2.25,442500.0
1710,7,1710,1480,1.75,525000.0
1520,7,1520,1550,1.75,425500.0
2930,8,2930,2450,2.75,710000.0
3160,8,1930,2380,3.0,545000.0
2910,8,2910,1980,2.75,410000.0
1700,7,1200,1700,2.25,245000.0
810,6,810,1140,1.0,194900.0
2000,7,2000,2330,2.5,284000.0
1894,6,1520,1820,1.75,280000.0
2080,6,1040,2080,1.75,280000.0
1730,7,1010,1080,2.0,360000.0
720,6,720,1460,1.0,405000.0
3560,10,3560,3840,2.5,865000.0
1210,7,1210,1280,2.0,483300.0
2130,8,2130,2100,2.5,355000.0
1570,7,1180,1570,2.25,274950.0
3950,11,2880,3050,4.5,1925000.0
3450,11,2690,3560,3.25,755000.0
7220,12,6220,2680,5.75,1940000.0
1150,7,1150,1520,1.75,309212.0
1500,7,1150,1540,2.25,219950.0
1300,7,1300,1400,2.5,690000.0
1290,6,1170,1140,1.75,250800.0
2510,9,2510,3140,2.0,557500.0
2320,8,1820,1940,1.75,941000.0
5480,11,3910,3510,4.75,3650000.0
2030,7,1230,1810,2.75,305000.0
2060,8,2060,2060,1.5,815000.0
2920,9,1800,2480,2.5,1015000.0
3330,9,2330,2620,3.0,1240000.0
2110,9,2110,2390,2.5,535000.0
1175,6,1175,2010,1.0,775000.0
1590,7,1590,1590,2.0,255000.0
1070,7,1070,1500,1.0,327000.0
2720,8,2240,2960,2.0,560000.0
2980,9,2980,2870,3.5,1339000.0
1160,7,1160,1470,1.75,199500.0
3580,9,3580,2510,2.5,760000.0
3020,8,1980,1150,2.25,439000.0
2380,7,1410,2150,2.25,527000.0
2270,6,1300,1160,2.75,199950.0
1660,7,1660,1660,2.25,254000.0
830,7,830,1110,1.0,393000.0
2480,8,1860,2470,2.25,585000.0
1900,7,1150,1140,2.0,450000.0
1670,9,1670,2330,1.75,565000.0
2000,7,1300,2000,2.25,330000.0
2320,9,2320,3100,2.0,870000.0
1860,8,1460,2040,2.5,585000.0
2110,9,2110,2390,2.5,500000.0
1400,7,1150,1820,2.0,225000.0
1400,7,1150,1820,2.0,295000.0
2850,9,1920,3300,2.75,775000.0
1370,7,1370,1520,1.0,280000.0
2170,7,1280,1180,2.5,539000.0
2570,8,2570,2550,1.75,567500.0
1970,8,1310,1860,2.25,442500.0
2980,8,2980,1100,3.75,598200.0
2300,8,2300,1780,2.5,610000.0
1990,8,1990,2250,2.5,544900.0
2390,8,2390,1960,2.5,557500.0
2160,7,1430,1560,2.5,532500.0
3300,10,3300,2740,3.25,1350000.0
1840,7,1040,1820,2.0,750000.0
2030,8,2030,1960,2.5,530000.0
1400,7,1400,1500,2.5,346100.0
2320,9,2320,2700,2.25,260000.0
1410,7,1410,1800,1.75,365000.0
1860,7,930,1980,2.0,615000.0
1820,7,1820,1680,2.5,318400.0
1910,8,1910,1630,2.5,498500.0
1540,7,1540,1270,1.75,450000.0
1430,7,1430,1870,2.0,200000.0
1010,7,1010,1150,1.0,234000.0
940,5,940,1290,1.0,121800.0
2600,8,1600,2260,2.75,805000.0
2060,8,1220,1500,2.25,410000.0
1920,8,1920,1380,2.5,475000.0
2900,11,2900,3390,2.5,1337500.0
1020,7,1020,1000,1.0,269000.0
2150,8,2150,2000,2.25,573000.0
1660,7,1660,1540,2.5,330000.0
1230,7,1230,1020,1.0,252750.0
2170,8,2170,2170,2.5,745000.0
1280,7,1280,1450,2.0,280000.0
2240,8,1380,1540,2.5,535000.0
1780,7,1320,1880,1.5,580000.0
1840,7,1220,1770,1.75,301000.0
1740,7,1740,1740,1.75,600000.0
3040,9,3040,1650,3.0,538900.0
2370,8,2370,2380,2.5,366000.0
2100,8,2100,2100,2.5,303000.0
1470,8,1090,1470,2.25,432000.0
1300,6,820,1250,1.5,300000.0
3420,8,2430,980,3.0,908800.0
1190,7,970,1460,1.5,500000.0
2080,7,1740,1510,2.0,254000.0
2180,7,1340,1530,1.5,470000.0
1460,7,1460,1850,2.0,480000.0
1530,7,1150,1610,1.75,536000.0
4740,11,3640,4042,3.5,1349000.0
1980,8,1980,2460,2.25,550000.0
1710,7,1240,1600,1.75,260000.0
1160,7,890,1160,1.5,284900.0
2200,9,1530,2200,2.5,740000.0
1170,7,1030,1170,1.0,425000.0
1120,7,1120,1120,1.0,230000.0
1710,8,1710,1910,1.5,675000.0
1650,7,1650,1810,1.75,267500.0
2840,8,1420,2310,2.5,814000.0
3310,9,3310,2810,3.0,1250000.0
1860,7,1320,1830,2.0,460000.0
2250,8,2250,2020,2.5,445000.0
2890,8,2890,2890,2.5,715000.0
2120,7,1060,1840,1.75,425000.0
2130,8,2130,2130,2.5,370000.0
1170,6,780,1780,1.75,302000.0
2120,7,1060,1540,1.75,453000.0
1280,7,1280,1440,1.75,290000.0
3170,10,3170,3190,2.5,1035000.0
2260,9,2260,2650,2.25,925000.0
2930,9,2030,2740,1.75,600000.0
1060,7,1060,1060,1.5,354000.0
1740,7,1180,1440,1.75,204950.0
2990,8,2990,2890,2.5,675000.0
3530,11,3530,3850,3.25,995000.0
2960,7,1500,2160,2.0,800000.0
1650,8,1650,1760,2.5,472500.0
2720,8,1510,2510,2.5,549950.0
1516,7,998,2100,1.75,575575.0
4386,10,2356,3060,3.25,545000.0
2580,7,1630,1920,2.25,340000.0
960,6,960,1090,1.0,225000.0
1460,7,1460,1460,1.75,299950.0
3840,8,2640,1620,3.5,829900.0
2090,7,2090,2090,2.5,340000.0
2470,8,1470,2050,2.25,515000.0
2090,8,2090,2090,2.5,601000.0
2070,8,2070,2440,2.5,470000.0
1650,7,980,1230,1.0,371500.0
1880,8,1410,2340,1.75,550000.0
2060,8,2060,1630,2.5,242550.0
1410,8,1410,2090,1.5,367500.0
2770,8,2100,2030,3.5,359000.0
1390,7,1390,1260,2.0,204900.0
5440,9,2720,1970,2.75,850000.0
1280,6,1280,1070,1.5,187000.0
1720,7,1720,2000,2.75,326000.0
1720,7,1720,2000,2.75,340000.0
3040,8,1890,1360,2.25,330000.0
3780,9,3110,3310,3.5,782000.0
2670,8,2670,2140,2.5,612000.0
1350,7,1350,1920,2.0,400000.0
3490,9,2460,3080,3.5,941500.0
870,8,800,1710,1.5,313000.0
2410,7,1460,1360,2.25,735000.0
1640,8,1340,2210,1.75,471000.0
1540,7,1540,1560,1.0,350000.0
2370,8,1570,2550,2.5,530000.0
1830,7,1830,1740,3.0,415000.0
2330,8,2330,2330,2.25,639500.0
2240,8,2240,2330,2.75,580379.0
1700,8,1700,1760,2.5,378000.0
1750,7,1410,1720,2.25,265000.0
1100,6,1100,1100,1.75,212000.0
2320,8,2320,2220,3.0,400000.0
2540,8,2540,1990,2.5,750000.0
3090,8,1750,1760,2.5,384900.0
770,6,770,1150,1.0,176000.0
2370,7,2370,2290,2.75,350000.0
1200,6,1200,1200,1.0,168000.0
2200,7,1100,1410,2.0,358000.0
2660,8,2660,2720,2.75,580000.0
1600,7,1050,1590,1.75,442500.0
1330,8,1330,1430,2.5,515000.0
3440,8,1720,2100,2.5,554000.0
2510,9,2510,2518,2.5,659000.0
2150,7,1090,1880,2.5,414999.0
1180,6,1180,1680,1.5,275000.0
680,5,680,1320,1.0,193000.0
2840,9,2840,2460,2.5,525000.0
1820,8,1820,2040,2.5,424000.0
1070,6,870,1520,1.0,455000.0
1250,7,1250,1210,1.0,463000.0
2190,7,1240,2730,2.5,1100000.0
3000,8,1900,1550,1.75,523000.0
2270,8,2270,2540,1.75,615000.0
4500,12,4500,3930,4.0,1515000.0
3400,8,2320,1910,4.0,870000.0
2830,10,2830,2970,2.5,710000.0
960,7,960,1280,1.0,215000.0
1530,7,1530,1530,1.0,590000.0
2500,7,1300,2440,2.5,323000.0
1560,7,1560,1480,2.0,279000.0
2070,8,1720,2350,2.25,535100.0
2710,9,1910,2120,2.25,830000.0
3150,9,3150,3150,2.5,815000.0
1880,8,1480,2120,2.25,535900.0
1250,7,1250,1480,1.0,230000.0
2290,7,1490,1840,1.75,325500.0
1990,7,1990,1690,2.25,359000.0
2100,8,2100,1890,2.5,505000.0
940,7,940,950,1.0,253905.0
1640,8,1200,1480,1.75,369950.0
1860,7,1860,1870,2.25,350000.0
2100,8,2100,1660,2.25,650000.0
1500,6,1500,1500,1.75,295000.0
1680,8,1180,2190,1.75,620000.0
3900,12,3900,2720,2.5,1998000.0
1400,6,1400,1070,1.0,246000.0
2600,7,1350,2260,2.75,430000.0
1440,6,1440,1360,2.0,509990.0
1870,7,1090,2010,1.75,490000.0
2960,8,2360,1870,2.75,385000.0
2440,9,2440,2570,2.5,769000.0
1122,6,1122,840,1.0,185000.0
1060,7,1060,1420,1.5,303500.0
2150,8,1430,2360,2.5,468000.0
3100,9,3100,1850,2.5,449950.0
880,7,880,880,1.5,235000.0
2490,9,2150,2490,2.5,520000.0
1080,6,1080,1080,1.0,203000.0
2530,7,1290,2040,2.5,657000.0
1200,7,1200,1230,1.0,275000.0
2850,9,2850,2700,2.25,540000.0
2950,7,2950,2360,2.5,455000.0
1160,7,860,1250,1.75,458500.0
3420,10,3420,3490,3.5,549900.0
2240,8,1550,1570,1.75,750000.0
1450,7,1180,1450,1.75,235000.0
1820,7,1820,1490,2.5,286000.0
4700,11,3500,3210,3.5,2650000.0
2430,7,1580,1910,1.75,602000.0
1960,7,1960,1880,1.5,640000.0
1440,8,1440,1720,1.75,267000.0
2730,8,2730,2670,2.5,712000.0
910,5,910,1290,1.0,244500.0
910,5,910,1290,1.0,301000.0
2430,8,2020,2340,2.5,990000.0
3350,10,3350,2960,2.75,739999.0
2320,7,1140,1820,1.75,480000.0
1260,8,1260,1340,2.5,305000.0
1980,8,1590,1760,2.0,703300.0
1580,7,1580,1580,1.5,265000.0
2710,9,2710,2330,2.5,600000.0
1400,7,1400,1640,1.0,253000.0
2410,8,2410,1920,2.5,617950.0
1790,7,1100,1260,3.25,385000.0
1640,7,1060,2230,2.0,319000.0
1670,7,1170,1960,2.5,696000.0
970,6,970,1650,1.0,345000.0
1610,7,1610,1120,2.5,380000.0
2060,8,1160,2590,1.75,647500.0
3570,9,3570,3510,2.5,725000.0
1400,7,1400,1530,1.75,269950.0
3470,10,3470,3800,2.5,875000.0
1210,7,1210,1680,1.0,299950.0
3930,10,3930,1780,3.25,1875000.0
990,7,990,1180,1.0,430000.0
2200,8,2200,2200,2.5,495000.0
1510,7,1510,1650,1.5,275000.0
1620,7,1120,1790,1.0,333000.0
1580,7,1580,1730,2.25,247000.0
1260,7,1260,2400,1.75,204555.0
2190,9,2190,2770,2.0,432000.0
1230,7,1230,1690,1.75,175000.0
2030,7,1400,1800,2.5,556300.0
780,5,780,1210,1.0,286000.0
1110,8,1110,1110,1.5,320000.0
2790,9,2790,2740,2.5,815000.0
1660,7,1000,1880,1.75,385000.0
3410,8,2190,2550,1.0,1039000.0
2390,8,2390,2450,2.25,350000.0
1850,8,1850,2370,2.5,277000.0
2500,8,1250,1800,2.0,415000.0
1000,6,1000,1090,1.0,295000.0
2450,8,2200,2360,2.0,969000.0
1440,6,720,960,1.75,339888.0
1660,7,1660,1840,2.25,269950.0
2510,10,2510,2560,2.5,1185000.0
3090,10,3090,3100,2.5,780000.0
860,6,860,1120,1.0,198000.0
1220,7,1220,2740,1.0,350000.0
1010,7,1010,1320,1.0,350000.0
2390,8,2390,2390,2.25,319000.0
3340,8,3340,2230,2.25,311000.0
3620,8,2790,2850,3.25,394000.0
4200,9,2910,3060,2.25,1335000.0
3831,9,3831,3850,2.75,2700000.0
1980,7,1080,1680,1.0,396000.0
1790,8,1340,2180,1.75,809000.0
1580,7,1050,1560,2.0,480000.0
2460,7,1230,1560,1.75,535000.0
2110,7,1870,1580,2.75,425000.0
1470,8,1470,1460,2.5,408000.0
3510,10,3510,3230,2.5,1255000.0
520,6,520,980,0.75,310000.0
1950,8,1950,2200,2.5,292000.0
770,6,770,1140,1.0,217000.0
2250,8,2250,1520,2.5,398500.0
4040,9,3340,3450,3.0,2250000.0
2360,7,1280,1700,1.75,700000.0
2330,9,2330,2930,2.5,585000.0
1720,7,1720,1870,1.0,399950.0
1900,6,950,1370,1.75,235000.0
1040,6,1040,1430,1.0,212000.0
2070,8,1220,2080,2.0,310000.0
2070,8,1220,2080,2.0,539000.0
1550,8,1280,1940,3.0,390000.0
2020,9,2020,2410,2.5,560000.0
3320,9,3320,3320,2.5,800000.0
4130,11,4130,3140,3.25,1900000.0
2030,7,1110,1930,2.0,472000.0
1770,7,1170,1670,1.75,502550.0
3330,9,3330,3100,3.25,830000.0
2260,7,1520,1750,2.5,224950.0
1950,8,1950,1950,2.5,375000.0
2930,9,2930,3160,2.5,645000.0
1960,7,1410,2040,2.75,599000.0
2980,9,2980,2630,2.5,515000.0
780,5,780,880,1.0,135000.0
1650,8,1650,1650,2.5,485000.0
4030,9,2800,2670,3.25,890000.0
1010,7,1010,1230,1.0,215000.0
1190,7,1190,1360,1.0,299500.0
1050,7,1050,3360,1.0,800000.0
1560,7,1560,1670,2.5,275000.0
1490,7,1010,1570,1.5,256400.0
770,6,770,820,1.0,310000.0
620,6,620,1540,1.0,385000.0
1200,7,1000,1640,1.5,203000.0
2120,7,1060,1460,2.0,285000.0
2330,8,2330,1830,2.5,473975.0
2000,8,1400,1890,1.75,320000.0
2820,7,1450,1620,2.75,599000.0
2040,7,1020,1640,2.0,580000.0
1700,7,1700,1650,2.25,269500.0
820,6,820,1410,1.0,274000.0
1315,8,1315,1640,1.75,347000.0
1390,6,860,1390,1.75,270000.0
1890,8,1890,2000,2.0,1430000.0
1460,7,1460,1760,1.75,220000.0
1480,8,1480,1190,1.0,243000.0
1840,7,1050,1840,1.75,457500.0
1880,7,940,1880,1.75,340000.0
1910,7,1610,2170,1.5,657500.0
2220,7,2220,2090,2.5,332500.0
1410,6,1410,1570,2.0,340000.0
3380,8,2330,2500,3.0,350000.0
1950,7,1120,2000,2.5,428000.0
2400,8,2400,2430,2.5,515055.0
1560,8,1560,1990,1.75,450000.0
1040,6,1040,1330,1.0,190000.0
3090,8,2590,1500,2.75,1000000.0
1850,7,1850,2160,2.5,299000.0
1200,7,1090,2690,1.0,508000.0
2190,8,2190,2200,2.25,294000.0
1380,7,1380,1540,1.0,320000.0
3710,9,3710,3250,2.75,641000.0
2320,8,1380,2830,2.5,675000.0
1110,7,1110,1330,1.5,255000.0
1830,7,1830,2488,2.5,286651.0
2460,8,1650,2550,2.5,607500.0
1270,7,1270,2260,1.0,765000.0
1700,8,1700,2760,1.75,334950.0
1130,7,1130,1930,1.0,426000.0
1640,7,1640,1670,1.75,775000.0
1040,6,1040,1310,1.5,343000.0
2320,8,2320,2090,2.5,470101.0
1200,7,1200,1390,1.5,195000.0
1720,7,1720,2140,1.0,772500.0
2330,8,1330,2630,1.5,450000.0
4410,11,4410,2160,3.75,1437500.0
1650,8,1650,1700,1.75,525000.0
1370,7,1370,1390,1.5,280000.0
1770,7,1420,1894,2.5,270000.0
1410,8,1410,1430,2.25,406100.0
1710,7,1710,1760,1.75,332544.0
790,6,790,900,1.0,110000.0
2770,8,2120,2300,2.25,685000.0
1260,7,1260,1480,1.0,461000.0
2300,8,1300,2120,2.25,615000.0
1070,7,870,1890,1.0,550000.0
3850,11,2430,2620,3.5,1060000.0
2320,8,2320,2340,2.5,685000.0
2870,8,2870,2870,2.5,1555000.0
1830,7,1830,1830,2.5,312000.0
1990,8,1190,1930,1.75,507500.0
1110,7,1110,1540,1.0,217000.0
1830,7,1170,1960,2.25,439000.0
3600,8,2740,3150,3.5,620000.0
3210,10,3210,2950,2.5,915000.0
1490,7,1110,1330,2.0,425000.0
990,7,870,1280,1.0,435000.0
1646,7,1646,1654,2.25,305000.0
720,6,720,1630,1.0,276000.0
2310,8,2310,1960,2.25,327500.0
2670,9,2670,2620,2.5,810000.0
3060,10,2460,2990,3.25,715000.0
1380,7,1380,1650,1.5,272000.0
700,6,700,1230,1.0,266000.0
1710,7,1710,2430,1.5,543000.0
1450,8,1450,1710,2.5,400000.0
2060,7,1320,2050,2.25,509500.0
2380,8,1670,2540,3.5,495000.0
2760,7,2760,2670,2.5,424950.0
940,7,940,1250,1.0,230000.0
1760,7,1760,1760,1.5,235000.0
1360,6,1360,2530,2.0,763000.0
2010,7,2010,1770,1.75,350000.0
2160,8,1620,2570,1.5,900000.0
930,6,930,1640,1.0,250000.0
1020,7,720,1060,2.5,225000.0
1360,8,1360,1160,2.0,255000.0
1720,7,1220,1790,1.75,161700.0
1790,7,1190,1740,3.0,336000.0
1150,7,1150,1210,1.0,410500.0
2710,8,2710,1590,3.5,502700.0
2400,7,1390,2010,2.5,505000.0
1660,7,1350,1750,1.0,250000.0
1660,7,1350,1750,1.0,570000.0
2290,8,2290,2130,2.5,349900.0
2870,10,2870,2950,2.5,465000.0
4240,10,3550,3590,3.25,625000.0
1800,7,1170,1720,1.75,655000.0
2960,8,1570,1660,1.75,469000.0
1980,8,1300,1820,2.25,355000.0
1730,8,1730,1730,2.5,596000.0
3020,9,3020,3020,2.5,790000.0
4470,10,4470,3850,2.25,885000.0
2830,9,1910,2740,3.25,1030000.0
2120,8,1060,2052,1.75,710000.0
2150,8,2150,2150,2.5,428040.0
3510,8,1850,2680,2.25,1370000.0
970,7,970,1180,1.0,546000.0
1360,7,1360,1500,1.0,540000.0
1470,7,930,1470,2.5,435000.0
3040,8,1430,1870,2.25,540000.0
860,7,860,1200,1.0,284000.0
820,5,820,1000,1.0,208000.0
1900,7,1130,1540,1.75,315000.0
1330,6,850,1200,1.0,417500.0
1240,7,1240,2060,1.75,345000.0
1330,8,1330,1330,2.5,375000.0
1880,7,1880,1540,1.75,389800.0
1890,8,1430,1890,1.75,475000.0
2250,8,2250,2350,2.25,569000.0
4650,10,3260,2810,4.25,985000.0
1830,8,1830,2030,2.5,532000.0
720,6,720,810,1.0,280000.0
1960,7,1050,2340,2.0,435000.0
1220,6,1220,1960,1.0,223000.0
1800,7,1200,2320,1.0,390000.0
1340,7,880,1500,1.75,315000.0
1740,7,1740,1830,3.0,612000.0
1680,7,870,1440,1.75,591000.0
3220,8,3220,2500,2.25,800000.0
1610,8,1610,1930,2.0,225000.0
3160,7,3160,3140,3.0,589900.0
2520,8,1520,2050,2.5,565000.0
2120,7,1060,1620,1.5,650000.0
2090,8,2090,1640,2.5,499000.0
1330,5,1330,1350,1.0,280000.0
2420,8,1210,2340,2.5,649950.0
1510,7,1510,1480,1.75,420000.0
2120,7,2120,1990,2.5,319990.0
1850,7,1850,1528,2.0,265000.0
2300,7,1220,1940,1.75,482000.0
2600,8,1490,2450,2.25,452000.0
5180,12,4280,5030,4.25,1488000.0
1810,7,1810,1490,1.0,375000.0
2190,7,1490,1370,3.0,588000.0
2500,9,2500,2890,2.5,635000.0
1890,8,1890,2170,2.5,280500.0
2040,6,1430,1310,1.75,210500.0
1310,7,1310,1390,2.0,196500.0
4010,9,2850,2610,3.5,1395000.0
1780,7,1210,1630,1.75,475000.0
1980,8,1980,1930,2.5,550000.0
3690,11,3690,1880,3.25,1580000.0
1540,7,1200,1540,1.75,240000.0
1130,6,1130,1080,1.0,272000.0
2480,8,1870,2040,2.75,408506.0
2580,9,2580,910,2.5,640000.0
2010,8,2010,2160,2.5,316000.0
2320,7,1720,1390,2.0,299000.0
1180,7,1180,1550,2.25,447500.0
3180,9,3180,3715,2.5,736500.0
2970,8,2970,3280,2.0,665000.0
3050,8,1590,2550,2.5,707000.0
1630,7,1630,1630,1.75,215000.0
1620,7,1620,1640,2.25,275000.0
2170,8,2170,2600,2.25,648000.0
2150,8,2150,2080,2.5,415000.0
1770,8,1770,1890,2.0,690000.0
2110,7,1290,1980,2.75,320000.0
1590,8,1590,1970,1.75,750000.0
1370,8,1370,1370,2.25,355000.0
1390,7,1390,1460,1.75,246000.0
1640,8,1640,2630,1.75,1155000.0
2670,8,2670,2400,2.5,744000.0
5400,11,5400,1690,3.75,1210000.0
1690,7,1210,1930,2.0,217000.0
2600,8,2600,2270,2.5,583000.0
1400,7,1150,1530,1.5,515000.0
2140,8,1410,2080,1.75,594000.0
1640,8,1640,1640,1.5,303100.0
1720,7,1020,1860,1.75,430000.0
3060,8,3060,1840,3.25,708000.0
1150,7,1150,1200,1.0,221000.0
2000,8,2000,2180,2.5,325000.0
4810,12,4810,4740,0.0,1295650.0
1560,6,780,1320,1.75,385000.0
2070,8,2070,1880,2.5,359500.0
1920,7,1300,2010,2.0,433000.0
1000,7,800,1060,1.0,525000.0
1690,7,940,2390,2.0,356200.0
3090,7,1590,2560,2.0,595000.0
1790,7,1020,1680,1.5,560000.0
4750,11,4750,3120,3.0,2175000.0
2090,7,1480,1510,2.0,513000.0
680,5,680,1120,1.0,365000.0
2100,7,1030,1170,1.75,368000.0
2840,8,1960,2750,2.75,870000.0
1470,7,1160,1570,2.25,225000.0
4490,11,3800,3370,4.5,1387000.0
1150,7,1150,1540,1.75,177000.0
1460,7,1460,1610,1.5,465000.0
3150,8,1810,2250,2.75,750000.0
1090,6,1090,1040,1.0,149000.0
2670,9,2670,2760,2.5,605000.0
2110,7,1990,1620,2.0,725000.0
1770,7,1770,2470,2.25,413900.0
1510,6,1510,990,1.5,199950.0
530,6,530,1930,1.0,400000.0
2420,8,2200,2070,1.5,870000.0
2490,7,1490,1930,2.5,292000.0
990,7,990,1260,1.0,225000.0
1730,8,1730,1410,2.0,466750.0
1440,8,1440,1460,1.5,330000.0
3260,8,3260,2340,2.25,770000.0
1950,8,1450,1840,2.25,802500.0
2740,8,2740,2900,2.5,378800.0
2940,10,2940,3110,2.75,795000.0
1200,7,1200,1750,2.0,460000.0
2070,8,2070,2220,2.5,567000.0
1570,7,1570,2000,1.75,209950.0
1050,7,1050,1380,1.0,415000.0
1830,7,1080,1650,1.5,424500.0
970,6,970,1280,1.0,261000.0
2200,8,2200,2200,2.5,365000.0
1930,7,1930,1480,2.0,631000.0
7050,13,4320,5070,5.5,3800000.0
1790,8,1790,1340,2.5,584000.0
1560,7,1560,2100,1.75,310000.0
2780,10,2780,2650,2.5,717000.0
1720,8,1720,2210,1.5,667000.0
1640,6,1040,1600,1.0,190000.0
1730,8,1370,2390,2.0,430000.0
740,6,740,1500,1.0,213000.0
2280,8,1550,2030,2.5,475000.0
2090,8,2090,1820,2.75,649000.0
2550,9,2550,3180,2.5,715000.0
3350,11,2460,3360,3.5,845000.0
2770,7,1900,1850,2.5,390000.0
2860,7,1730,2340,3.0,390000.0
1990,8,1400,1820,1.75,328000.0
1740,7,1140,1550,2.75,239999.0
1460,7,1460,1540,2.0,225000.0
3670,9,1950,3020,1.75,920000.0
3270,10,3270,3380,2.75,940000.0
1210,6,1210,1070,1.0,465000.0
1770,7,1770,1510,2.0,241000.0
1980,8,1980,2550,2.5,307550.0
2650,8,1610,2650,2.5,490000.0
3040,8,3040,2790,2.5,647000.0
3640,10,3640,2670,2.75,780000.0
1810,8,1810,1740,2.5,517500.0
1380,7,1380,1410,2.0,295000.0
1810,8,1810,1770,1.5,560000.0
2250,7,1750,1540,2.0,319450.0
3860,9,2870,2940,3.25,1500000.0
2380,8,1500,2370,3.0,340000.0
1370,6,1370,1080,1.0,249950.0
1830,7,1430,1510,1.0,499950.0
1440,8,1440,3520,1.75,1038000.0
2510,9,1540,2370,2.5,750000.0
3230,9,3230,3080,2.5,875000.0
1670,8,1670,2200,1.75,678000.0
780,6,780,1620,1.0,360000.0
1720,7,1720,1550,1.0,354900.0
2260,8,1520,2500,2.5,632000.0
